0,382009;0,063365;0,018382;0,067017;0,054260;0,010569;0,099986;0,304413;0
0,430990;0,042308;0,020192;0,058207;0,026042;0,003479;0,047394;0,371389;1
0,500132;0,034719;0,011393;0,033315;0,013723;0,004649;0,011607;0,390462;2
0,431417;0,059052;0,004222;0,037923;0,020782;0,024160;0,016246;0,406199;3
0,592672;0,003743;0,023916;0,020070;0,008189;0,005290;0,001261;0,344859;4
0,444967;0,078451;0,011648;0,036001;0,008993;0,013265;0,027242;0,379435;5
0,491862;0,051320;0,015045;0,036245;0,027547;0,010976;0,025564;0,341441;6
0,511607;0,072611;0,017476;0,042460;0,008443;0,017232;0,046163;0,284007;7
0,454742;0,100596;0,031118;0,013987;0,004364;0,010122;0,062236;0,322835;8
0,438009;0,063812;0,019857;0,019938;0,014781;0,005259;0,058065;0,380280;9
0,411407;0,106445;0,003937;0,045105;0,018026;0,005727;0,048269;0,361084;10
0,434825;0,067790;0,064240;0,046865;0,019501;0,023366;0,019633;0,323781;11
0,463511;0,106181;0,019023;0,040456;0,011810;0,008606;0,043101;0,307312;12
0,459239;0,047760;0,054036;0,046773;0,029826;0,012838;0,018097;0,331431;13
0,430440;0,001078;0,017202;0,083720;0,029236;0,027130;0,001709;0,409485;14
0,470622;0,049296;0,007548;0,072611;0,016602;0,003764;0,027405;0,352153;15
0,475403;0,042318;0,008514;0,017965;0,012390;0,018473;0,025503;0,399434;16
0,535970;0,063446;0,011749;0,059092;0,018382;0,002502;0,006643;0,302216;17
0,524516;0,058350;0,008219;0,034098;0,004344;0,033040;0,028453;0,308980;18
0,469727;0,034821;0,014893;0,045837;0,038177;0,017222;0,030691;0,348633;19
0,451304;0,043498;0,008158;0,019135;0,005636;0,004679;0,046224;0,421366;20
0,449443;0,062480;0,002035;0,021800;0,006866;0,004079;0,016764;0,436534;21
0,468821;0,063049;0,006897;0,020315;0,017476;0,005575;0,039073;0,378794;22
0,490407;0,044942;0,002268;0,014201;0,007273;0,009023;0,009084;0,422801;23
0,513885;0,028147;0,001139;0,011241;0,004283;0,001058;0,010732;0,429515;24
